Course_Title,Skills_Taught
Cost Accounting,"['Management Accounting', 'Job Costing', 'Cost–Benefit Analysis', 'Cost Accounting', 'Profit and loss calculation']"
Cost and Economics in Pricing Strategy,"['Cost-Based Pricing', 'Channel and Direct-to-Consumer Pricing', 'Pricing Strategies', 'Price Discrimination', 'Price Elasticity Of Demand']"
Country Level Economics: Macroeconomic Variables and Markets,"['Economics', 'Interest Rate', 'Supply Chain', 'Market (Economics)']"
Crash Course on Python,"['Basic Python Data Structures', 'Fundamental Programming Concepts', 'Basic Python Syntax', 'Python Programming', 'Object-Oriented Programming (OOP)']"
Create High-Fidelity Designs and Prototypes in Figma,"['User Experience (UX)', 'mockup', 'Figma', 'Prototype', 'User Experience Design (UXD)']"
Creating Business Value with Data and Looker,[]
Creative Thinking: Techniques and Tools for Success,"['Creative Thinking', 'Problem Solving', 'Creativity', 'Brainstorming']"
Creative Writing,"['Short Story Writing', 'Fiction Writing', 'Creativity', 'Copy Editing']"
Creative Writing: The Craft of Plot,"['Short Story Writing', 'Fiction Writing', 'Creativity', 'Copy Editing']"
Creativity and AI,"['Artificial Intelligence (AI)', 'Innovation Strategies', 'Design Thinking', 'Business Applications', 'Applied Creativity']"
Cryptography I,"['Cryptography', 'Cryptographic Attacks', 'Public-Key Cryptography', 'Symmetric-Key Algorithm']"
Cultural Competence - Aboriginal Sydney,[]
Culture-Driven Team Building,"['Team dynamics', 'Team Building', 'Collaboration', 'Intercultural Communication', 'Organizational Anthropology']"
Curanderismo: Traditional Healing Using Plants,[]
"Custom Models, Layers, and Loss Functions with TensorFlow","['Functional API', 'Custom Layers', 'Custom and Exotic Models with Functional API', 'Custom Loss Functions']"
Customer Analytics,"['Predictive Analytics', 'Customer Analytics', 'Regression Analysis', 'Marketing Performance Measurement And Management']"
Customer Experiences with Contact Center AI - Dialogflow CX,"['Conversational design', 'Dialogflow CX development']"
Customer Experiences with Contact Center AI - Dialogflow ES,[]
Customer Service Fundamentals,"['Process Management', 'Communication', 'Problem Solving', 'IT Customer Support']"
Cyber Security Fundamentals,[]
Cybersecurity,"['Software Testing', 'Cryptography', 'Usability', 'Penetration Test']"
Cybersecurity Attack and Defense Fundamentals,"['Cyberattacks', 'Network Defense', 'Digital Forensics', 'Cybersecurity', 'Ethical Hacking']"
Cybersecurity Compliance Framework & System Administration,[]
Cybersecurity Operations Fundamentals,"['Information Security (INFOSEC)', 'Cyber', 'Network Security', 'Cybersecurity', 'Security Operations Center (SOC)']"
Cybersecurity Risk Management Frameworks,"['Cybersecurity', 'Risk Management']"
"Cybersecurity Roles, Processes & Operating System Security",[]
Cybersecurity for Everyone,[]
Cybersécurité Google,"['Linux', ""Systèmes de détection d'intrusion (IDS)"", 'Programmation Python', 'SQL', 'Outils de gestion des informations et des événements de sécurité (SIEM)']"
Data Analysis and Presentation Skills: the PwC Approach,"['Data Analysis', 'Microsoft Excel', 'Data Visualization (DataViz)', 'Presentation']"
Data Analysis and Visualization Foundations,"['Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)', 'IBM Cognos Analytics', 'Dashboard', 'Pivot Charts', 'Data Structure', 'cognos analytics', 'Data Science', 'Spreadsheet', 'Pivot Table']"
Data Analysis with Python,"['Predictive Modelling', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Model Selection']"
Data Analysis with R,"['Probability And Statistics', 'R Programming', 'Data Analysis', 'Regression Analysis', 'Correlation And Dependence', 'General Statistics', 'Data Visualization (DataViz)', 'Linear Regression', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Rstudio', 'Exploratory Data Analysis']"
Data Analysis with R Programming,"['R Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'R Markdown', 'Rstudio']"
Data Analytics in the Public Sector with R,"['Data Analysis', 'Ggplot2', 'Data Visualization (DataViz)', 'Rstudio', 'Public Policy']"
Data Engineering Foundations,"['Information Engineering', 'Python Programming', 'Extraction, Transformation And Loading (ETL)', 'Relational Database Management System (RDBMS)', 'SQL']"
"Data Engineering, Big Data, and Machine Learning on GCP","['Tensorflow', 'Bigquery', 'Google Cloud Platform', 'Cloud Computing']"
Data Literacy,"['visualization', 'Measurement Uncertainty', 'Probability', 'Statistical Hypothesis Testing', 'Statistics']"
Data Management for Clinical Research,"['Survey Design', 'Data Collection', 'Data Management', 'Clinical Data Management']"
Data Mining,"['Data Clustering Algorithms', 'Text Mining', 'Data Visualization (DataViz)', 'Data Mining']"
Data Science,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis']"
Data Science Foundations: Statistical Inference,"['Inference', 'Statistics', 'Data Science', 'Probability']"
Data Science Fundamentals with Python and SQL,"['Probability And Statistics', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistical Hypothesis Testing', 'Basic Descriptive Statistics', 'Data Science', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy', 'Jupyter notebooks', 'Cloud Databases', 'Relational Database Management System (RDBMS)', 'SQL', 'Github', 'Rstudio']"
Data Science Math Skills,"[""Bayes' Theorem"", 'Bayesian Probability', 'Probability', 'Probability Theory']"
Data Science Methodology,"['Data Science', 'Methodology', 'CRISP-DM', 'Data Analysis', 'Data Mining']"
Data Science with Databricks for Data Analysts,"['Data Science', 'Data Analysis', 'Machine Learning']"
Data Science: Foundations using R,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis']"
